Day,Exercise,Description,Series,Reps,Rest (sec),Video Ref
Day 1,Warm-up: 90/90 Hip Switch,Opens internal/external hip rotation.,2,10/side,0,https://www.youtube.com/watch?v=mIq7YdD6t2I
Day 1,Warm-up: World's Greatest Stretch,Dynamic mobility for thoracic spine and hips.,2,5/side,0,https://www.youtube.com/watch?v=-CbWU-m_x8s
Day 1,Romanian Deadlift (RDL),Primary mass builder. Hinge movement. Keep neutral spine.,4,8-10,120,https://www.youtube.com/watch?v=_OYx1QAsfCc
Day 1,Barbell Hip Thrust,Isolates the glute max at peak contraction. Hold top for 1s.,4,10-12,90,https://www.youtube.com/watch?v=EF7vfKNaU-s
Day 1,Lying Leg Curl,Full hamstring flexion. Control the eccentric (lowering) for 3s.,3,12-15,60,https://www.youtube.com/watch?v=OrxowZ454Co
Day 1,Walking Lunges (Long Stride),Long stride biases glutes/hams over quads.,3,20 steps,90,https://www.youtube.com/watch?v=L8fvybAU99I
Day 1,Cable Pull-Throughs,Pure hinge pattern with constant tension. Builds lower back resilience.,3,15-20,60,https://www.youtube.com/watch?v=A8nFGuY77CE
Day 1,Seated Calf Raise,Targets the Soleus muscle essential for stabilizing the knee.,4,15-20,45,https://www.youtube.com/watch?v=JbyjNymZOtI
Day 1,Glute Medius Kickback (Cable),Targets upper glute shelf. Stabilizes pelvis laterally.,3,15/side,45,https://www.youtube.com/watch?v=3sSoKk4k5_U
Day 1,Pallof Press,Anti-rotation core work. Stabilizes spine without compression.,3,12/side,60,https://www.youtube.com/watch?v=5_MJAxP-bdM
Day 2,Warm-up: Band Pull-Aparts,Activates rear delts/rhomboids to set scapula.,2,20,0,https://www.youtube.com/watch?v=fK_xuegh-n4
Day 2,Warm-up: Thoracic Extensions (Foam Roller),Mobilizes upper back vertebrae.,2,10 passes,0,https://www.youtube.com/watch?v=2GmpW-P0_KU
Day 2,Incline Dumbbell Press,Upper pec focus. 15-30 degree incline.,4,8-10,120,https://www.youtube.com/watch?v=8iPEnn-ltC8
Day 2,Standing Overhead Press (Barbell),Core/Glute stability required. Do not arch back.,3,6-8,120,https://www.youtube.com/watch?v=2yjwXTZQDDI
Day 2,Weighted Dips,Leaning forward for chest. Add weight belt if bodyweight >12 reps.,3,RPE 9,90,https://www.youtube.com/watch?v=yN6Q1UI_xkE
Day 2,Cable Crossovers (Low to High),Targets upper chest shelf. Constant tension.,3,12-15,60,https://www.youtube.com/watch?v=TaI4B3VvJm8
Day 2,Egyptian Lateral Raises (Cable),Unilateral delt work. Constant tension throughout ROM.,4,12-15,45,https://www.youtube.com/watch?v=3JdDyrwKjlQ
Day 2,Tricep Rope Pushdown,Focus on locking out and spreading the rope at bottom.,4,12-15,60,https://www.youtube.com/watch?v=vB5OHsJ3EME
Day 2,Overhead Tricep Extension (Cable),Stretches the long head of the tricep. Essential for arm size.,3,12-15,60,https://www.youtube.com/watch?v=ns-xe5-cO7w
Day 2,Face Pulls,External rotation for rotator cuff health.,4,15-20,60,https://www.youtube.com/watch?v=HSoHeSjvIdY
Day 3,Warm-up: Couch Stretch,Static hold to release tight quads/psoas before loading.,2,30s/side,0,https://www.youtube.com/watch?v=lgwL8A4L5Qk
Day 3,Warm-up: Tibialis Raises,Strengthens shin muscles prevents knee pain.,2,20,0,https://www.youtube.com/watch?v=g_wNn7G9-uM
Day 3,ATG Split Squat,Loads quad while stretching psoas of rear leg. Knee over toe is safe here.,3,8-10/leg,90,https://www.youtube.com/watch?v=SQyS2yC6iVE
Day 3,Front Squat (or Goblet Squat),Upright torso. Core heavy.,4,6-8,120,https://www.youtube.com/watch?v=v-mQMpHZPJc
Day 3,Leg Extension,Rectus Femoris isolation. Squeeze hard at top.,3,12-15,60,https://www.youtube.com/watch?v=ljO4jkwv8wQ
Day 3,Sissy Squats (Bodyweight or Weighted),Extreme quad stretch. Use support if needed.,3,Failure,60,https://www.youtube.com/watch?v=ZA-tXznfTLA
Day 3,Adductor Machine (Inner Thigh),Crucial for pelvic stability and often weak in men.,3,15-20,60,https://www.youtube.com/watch?v=1u18O205wXw
Day 3,Standing Calf Raises,Targets Gastrocnemius (upper calf). Heavy weight.,4,10-12,45,https://www.youtube.com/watch?v=-M4-G8p8fmc
Day 3,Hanging Knee/Leg Raises,Spinal decompression + hip flexor strength.,3,10-15,60,https://www.youtube.com/watch?v=7FwGZ8qY5OU
Day 3,Cable Woodchoppers,Rotational core power. Mimics BJJ torque patterns.,3,12/side,60,https://www.youtube.com/watch?v=pvt-0flUKEI
Day 4,Warm-up: Dead Hang,Spinal decompression.,2,45 sec,30,N/A
Day 4,Warm-up: Scapular Pull-ups,Isolation of the initial pull movement.,2,12,30,https://www.youtube.com/watch?v=nyVlV546ZBQ
Day 4,Pull-Ups (Weighted if possible),Primary vertical pull. Drive elbows down.,4,6-10,120,https://www.youtube.com/watch?v=eGo4IYlbE5g
Day 4,Chest-Supported Row (T-Bar),Heavy horizontal pull. Saves lower back.,4,10-12,90,https://www.youtube.com/watch?v=0UBRfiO4zDs
Day 4,Single Arm Cable Row (Lat Bias),Pull to hip. Deep stretch at the front.,3,12/side,60,https://www.youtube.com/watch?v=d6V2Exqb3BA
Day 4,Straight Arm Lat Pulldown,Lat isolation without bicep involvement.,3,15,60,https://www.youtube.com/watch?v=Of54iCclWVk
Day 4,Reverse Pec Deck (Rear Delts),Posture corrector.,3,15-20,60,https://www.youtube.com/watch?v=2t_0rMdRXZQ
Day 4,Kelso Shrugs (Incline Bench),Focus on mid-trap retraction not just elevation.,3,15,60,https://www.youtube.com/watch?v=HuK8rJjUeUE
Day 4,Incline Dumbbell Curls,Stretches the long head of bicep.,3,10-12,60,https://www.youtube.com/watch?v=soxrZlIl35U
Day 4,Hammer Curls,Brachialis and forearm focus.,3,10-12,60,https://www.youtube.com/watch?v=zC3nLlE99FA
Day 5,Warm-up: Cat-Cow Flow,Spinal lubrication.,2,1 min,0,https://www.youtube.com/watch?v=t27sYf88FEs
Day 5,Turkish Get-Up,Total body stability/mobility. BJJ specific.,3,3/side,90,https://www.youtube.com/watch?v=0bWRQq4SEsg
Day 5,Hex Bar Deadlift,Safer lumbar mechanics than straight bar. Go Heavy.,4,6-8,120,https://www.youtube.com/watch?v=1u18O205wXw
Day 5,Arnold Press,Shoulder press with rotation. Hits all 3 delt heads.,3,10-12,90,https://www.youtube.com/watch?v=6Z15_WdXno8
Day 5,Bulgarian Split Squat,Lighter weight continuous tension.,3,10/leg,90,https://www.youtube.com/watch?v=2C-uNgKwPLE
