DÍA 2 — ESPALDA Y BÍCEPS,,,,,,
"Enfoque: dorsal ancho, romboides, trapecio medio, bíceps · Lifting straps en TODOS los ejercicios de tracción",,,,,,
ACTIVACIÓN (5 min),,,,,,
Ejercicio,Series,Reps,Descanso,Equipo necesario,Descripción del movimiento,Notas de seguridad para el paciente
Movilidad de muñeca y hombro,1,2 min total,—,Sin equipo,"Igual al Día 1: círculos de muñeca, flexo-extensión, desviaciones, apertura-cierre. Añadir 30s de rotaciones externas e internas de hombro.",Indoloro siempre. Sirve para chequear el estado del ganglión antes de cargar.
Activación escapular en polea con straps,2,15,45 s,Polea alta + lifting straps,"Sentada frente a polea alta, straps enrollados a la barra. Con brazos extendidos arriba, descender los hombros y apretar escápulas hacia abajo y atrás SIN flexionar codos. Movimiento muy corto, solo escapular.",Pre-activación del dorsal y trapecio inferior. Cero agarre de la mano con pulgar — las correas hacen el trabajo.
Face pull ligero con cuerda,2,15,45 s,Polea alta + cuerda,"De pie frente a polea alta, cuerda a altura de los ojos. Tirar de la cuerda hacia las orejas separando los extremos. Codos altos en línea con hombros.","Carga MUY LIGERA en activación. Si la cuerda exige cerrar mucho la mano, sustituir por reverse pec deck."
BLOQUE PRINCIPAL,,,,,,
Ejercicio,Series,Reps,Descanso,Equipo necesario,Descripción del movimiento,Notas de seguridad para el paciente
Jalón en polea con straps (agarre neutro),4,8-10,2 min,Polea alta + barra de agarre neutro + lifting straps,"Sentada, muslos bajo el rodillo. Straps enrollados a la barra para que la mano solo ""cuelgue"" del strap. Tirar de la barra hacia el pecho llevando los codos abajo y atrás, espalda ligeramente inclinada. Pausa 1s con apriete escapular. Subida controlada 2-3 s.","STRAPS OBLIGATORIOS. Iniciar con el peso original (25 kg) y verificar tolerancia. Equivalencia EMG al jalón pronado clásico (Andersen 2014). Si no hay barra neutra, usar dos triángulos paralelos con straps."
Remo en máquina hammer paralelo con straps,4,12,2 min,Máquina hammer remo horizontal + lifting straps,"Sentada, pecho contra el respaldo. Straps enrollados a las empuñaduras paralelas. Tirar codos hacia atrás llevando las manos al lado del torso. Pausa 1s apretando escápulas, volver controlado.",STRAPS OBLIGATORIOS. Codos pegados al cuerpo para enfocar dorsal. Cero curva en espalda.
Pull over en polea con barra recta + straps,4,15,60 s,Polea alta + barra recta + lifting straps,"De pie frente a polea alta, brazos extendidos al frente sosteniendo barra con straps. Tirar de la barra hacia los muslos manteniendo codos casi rectos (semi-flexionados constantes). El movimiento es de hombro, no de codo.","STRAPS OBLIGATORIOS. Sustituye la versión con cuerda del original (que exige cierre activo de mano). Cadera atrás, espalda neutra."
Remo unilateral en polea baja con strap,4,12 x lado,60 s,Polea baja + lifting strap individual,"De pie de lado o frente a polea baja, strap individual al cable. Mano dentro del strap (no agarre activo). Tirar codo hacia atrás llevando mano al costado, apretando escápula. Volver con brazo extendido.",Sustituye el remo unilateral con mancuerna del original. Strap individual elimina el agarre prolongado del pulgar (6 lb sostenidos durante 60s es lo que provoca síntomas).
Curl de bíceps en máquina,3,12,60 s,Máquina de bíceps con apoyo de codos,"Sentada, brazos apoyados en almohadilla, codos alineados con el eje de la máquina. Las manos solo descansan en las empuñaduras. Flexionar codos llevando empuñadura a hombro, bajada controlada 2-3 s.",Sustituye el curl martillo con mancuernas. La máquina elimina completamente la prensión activa del pulgar. Si no hay máquina: curl con barra EZ en polea baja + STRAPS.
Curl bíceps con barra EZ en polea + straps,3,12,60 s,Polea baja + barra EZ + lifting straps,"De pie, codos pegados al torso. Straps enrollados a la barra EZ. Flexionar codos llevando barra a hombros (curl estricto, sin balanceo). Bajada controlada con estiramiento completo abajo.",STRAPS OBLIGATORIOS. La barra EZ además reduce la pronación de muñeca respecto a la barra recta.
CARDIO,,,,,,
Ejercicio,Series,Reps,Descanso,Equipo necesario,Descripción del movimiento,Notas de seguridad para el paciente
25 min en bici reclinada o elíptica,1,25 min,—,Bici reclinada (recumbent) o elíptica,"Ritmo moderado, 60-70% del esfuerzo máximo, FC objetivo zona 2-3. En bici reclinada: manos sueltas o apoyadas sin agarre. En elíptica: manos sueltas en los manillares centrales o sin tocar.",SUSTITUYE bici spinning del original. La bici tradicional con manillar mantiene muñeca en extensión bajo carga 25 min seguidos — es el patrón exacto que el ganglión bombea (mecanismo de Angelides). La reclinada o elíptica eliminan este factor.
