DAY 5 — FULL BODY & CONDITIONING
"Focus: full body, power, core, conditioning"
WARM-UP
Warm-up: Cat-Cow Flow,2,1 min,,,Spinal lubrication.,
MAIN
Turkish Get-Up,3,3/side,90s,,Total body stability/mobility. BJJ specific.,
Hex Bar Deadlift,4,6-8,120s,,Safer lumbar mechanics than straight bar. Go Heavy.,
Arnold Press,3,10-12,90s,,Shoulder press with rotation. Hits all 3 delt heads.,
Bulgarian Split Squat,3,10/leg,90s,,Lighter weight continuous tension.,
Farmers Walk,4,40 meters,90s,,Heavy carry. Posture traps and grip strength.,
Dumbbell Pullover,3,12-15,60s,,Thoracic expansion. Serratus/Lat work.,
Kettlebell Swings,4,20,60s,,Posterior chain power.,
CORE
Dead Bug,3,12/side,45s,,Deep core stabilizer.,
CONDITIONING
Battle Ropes (HIIT),5,30s on/30s off,,,Metabolic finisher. Max effort.,
