DÍA 1 — GLÚTEO Y CADENA POSTERIOR,,,,,,
"Enfoque: glúteo mayor, isquiotibiales, aductores · Duración estimada: 60-70 min",,,,,,
ACTIVACIÓN (5-7 min · obligatorio antes de cargas),,,,,,
Ejercicio,Series,Reps,Descanso,Equipo necesario,Descripción del movimiento,Notas de seguridad para el paciente
Movilidad de muñeca y hombro,1,2 min total,—,Sin equipo,"De pie: círculos lentos de muñeca en ambos sentidos (15s c/u), flexo-extensión sin carga (15s), desviación radial-cubital (15s), apertura-cierre de mano (15s). Luego rotaciones de hombro (15s c/u).","Movimientos siempre indoloros. Si aparece molestia en la muñeca, reducir rango. Sirve para evaluar el estado del día."
Puente de glúteo con banda,2,15,30s,Mini banda elástica (encima de rodillas),"Decúbito supino, pies separados a anchura de cadera, banda justo encima de rodillas. Empujar suelo con talones y elevar cadera presionando glúteo arriba 1 segundo. Bajar controlado sin tocar suelo completamente.",Sin demanda de mano. Activa glúteo y aductores. Mantener rodillas alineadas con la punta del pie (sin colapso interno).
Clamshell con banda,2,15 x lado,30s,Mini banda elástica,"Decúbito lateral, banda encima de rodillas, caderas y rodillas flexionadas 45-90°. Mantener pies juntos y abrir la rodilla superior contra resistencia 1s, luego cerrar lento.",Activa glúteo medio. No rotar la pelvis hacia atrás (la cadera de arriba se queda alineada vertical).
BLOQUE PRINCIPAL,,,,,,
Ejercicio,Series,Reps,Descanso,Equipo necesario,Descripción del movimiento,Notas de seguridad para el paciente
Hip thrust en máquina con respaldo,4,12,2 min,Máquina de hip thrust (preferida) o barra con pad grueso,"Sentada en máquina, espalda alta contra el respaldo, pies separados a anchura de cadera, ligeramente abiertos. Empujar cadera hacia arriba apretando glúteo, pausa de 1 segundo arriba, descender controlado 2 segundos. Cadera y rodillas a 90° en posición alta.","Priorizar la MÁQUINA: las manos solo guían, no soportan carga. Si solo hay barra: pad grueso, manos abiertas estabilizando sin cerrar pulgar con fuerza. Carga inicial: 36 kg."
Peso muerto rumano con barra + straps,4,10,90 s,Barra olímpica + lifting straps,"De pie, barra apoyada en muslos, pies a anchura de cadera. Con rodillas semi-flexionadas (no varían), inclinar tronco bajando la barra pegada a las piernas hasta sentir tensión en isquios (no más bajo). Volver extendiendo cadera con apriete final de glúteo. Espalda neutra durante todo el rango.","STRAPS OBLIGATORIOS: enrollar correa al pulgar de la barra para que la carga descanse en antebrazo proximal, no en el flexor del pulgar. Iniciar con 20-25 kg y progresar. Equivalente al RDL con mancuernas del original pero sin estresar el pulgar."
Prensa declinada de pierna,4,12,2 min,Máquina de prensa 45° o declinada,"Sentada, pies a anchura de cadera en la plataforma, ligeramente altos para enfocar glúteo. Bajar el peso hasta rodillas a 90° (no más), empujar con talones extendiendo sin bloquear rodilla.",Manos solo apoyan en las empuñaduras laterales sin agarrar con fuerza. Carga: 40 kg progresiva. Cero estrés en muñeca.
Curl femoral tumbado en máquina,3,15,60 s,Máquina de curl femoral,"Decúbito prono, pies bajo el rodillo a la altura del tendón de Aquiles. Flexionar rodillas llevando talones a glúteo, pausa 1s en contracción máxima, bajar 2-3 segundos controlado.",Empuñaduras solo de estabilización. Mantener cadera pegada al banco (no elevarla al subir el rodillo). Carga: 14 kg.
Abducción de cadera en máquina,4,20,60 s,Máquina de abductores,"Sentada, piernas dentro de las almohadillas. Abrir piernas contra resistencia con apriete consciente del glúteo medio. Pausa 1s en apertura máxima, volver controlada sin que las almohadillas se toquen.",Sin demanda de muñeca. Mantener tronco apoyado y pecho hacia delante. Carga: 23 kg.
Patada de glúteo en polea baja,3,15 x lado,60 s,Polea baja + tobillera (NO mango de mano),"Tobillera anclada al cable. De pie frente a la máquina, manos apoyadas en el marco para estabilizar. Elevar la pierna hacia atrás extendiendo cadera con apriete final del glúteo. Volver controlada sin tocar la pierna de apoyo.","Usar SIEMPRE tobillera, no agarre de mano con cable. Las manos solo estabilizan tronco contra el marco. Carga: 14 kg."
CARDIO,,,,,,
Ejercicio,Series,Reps,Descanso,Equipo necesario,Descripción del movimiento,Notas de seguridad para el paciente
HIIT en caminadora,8 rondas,1 min rápido / 30 s descanso,—,Caminadora,"Tras un calentamiento de 3 min a ritmo cómodo, alternar 1 minuto a velocidad alta (correr a 80-85% del esfuerzo máximo) con 30 segundos caminando lento.","Manos sueltas o solo apoyadas suavemente en barandilla. No agarrar barandilla con fuerza (estresa flexor del pulgar). Si requiere agarrarse para no caer, bajar velocidad."
